document,mean,count,final_label
!,0.5,2,drop
",,,",0.2,5,drop
.,0.4897959183673469,49,drop
..,0.2857142857142857,21,drop
...,0.25,32,0
....,0.16666666666666666,6,drop
.....,0.2,5,drop
.......,0.6666666666666666,3,drop
..................,0.5,2,drop
............................,0.5,2,drop
0점은 없나?,0.3333333333333333,3,0
1,0.15384615384615385,13,drop
1234567890,0.8,5,drop
1빠,0.3333333333333333,3,drop
1빠다...(웃음),0.5,2,drop
3.14,0.6666666666666666,3,drop
?,0.35714285714285715,14,drop
ANG?,0.5,2,drop
bb,0.5,2,drop
d,0.6,5,drop
dd,0.5,2,drop
f,0.5,2,drop
g,0.75,4,1
gg,0.25,4,drop
good,0.45652173913043476,92,1
good good good,0.8333333333333334,12,1
good!,0.2,5,1
h,0.5,2,drop
k,0.5,2,drop
soso,0.5,2,1
very good !,0.8888888888888888,9,1
zz,0.6666666666666666,3,drop
zzzzzzzzzzzz,0.6666666666666666,3,drop
ㄱㄱ,0.5,2,drop
ㅁ,0.4,5,drop
ㅇ,0.4166666666666667,12,drop
ㅇㅇ,0.6363636363636364,22,drop
ㅇㅇㅇ,0.5,4,drop
ㅋ,0.5,36,drop
ㅋㅋ,0.6,20,drop
ㅋㅋㅋ,0.5833333333333334,12,drop
ㅋㅋㅋㅋ,0.14285714285714285,7,drop
ㅋㅋㅋㅋㅋㅋ,0.3333333333333333,3,drop
ㅋㅋㅋㅋㅋㅋㅋ,0.3333333333333333,3,drop
ㅋㅋㅋㅋㅋㅋㅋㅋ,0.5,2,drop
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.5,2,drop
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.5,2,drop
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.5,2,drop
ㅎ,0.7647058823529411,17,1
ㅎㅎ,0.8181818181818182,11,1
ㅗ,0.2,5,0
ㅜㅜ,0.6,5,drop
ㅠㅠ,0.6,10,drop
ㅣ,0.5,2,drop
가나다라마바사아자차,0.25,4,drop
가나다라마바사아자차카,0.3333333333333333,3,drop
가나다라마바사아자차카타파하,0.6,5,drop
감동~,0.5,2,1
굿 무비,0.5,2,1
굿.,0.6666666666666666,3,1
그냥,0.16666666666666666,6,0
그냥 킬링타임용,0.5,2,1
글쎄...,0.2,5,0
기대되는 작품입니다.,0.5,2,1
꼭 보시길,0.5,2,1
나는 관대하다,0.625,8,drop
나는 관대하다.,0.25,4,drop
나이스,0.5,2,1
내 생에 최고의 영화,0.6666666666666666,3,1
내가 하면 로맨스 남이하면 불륜,0.5,2,1
내인생최고의영화,0.75,4,1
너무 재미있음,0.5,4,1
네,0.75,4,1
노잼노잼노잼노잼노잼,0.16666666666666666,6,0
대단한 영화다.,0.5,2,1
대박!!,0.5,2,1
따뜻한 영화,0.5,2,1
말이 안나온다,0.5,2,1
말이 필요없는 영화,0.5,2,1
말이 필요없다.,0.75,4,1
말이필요없다,0.6666666666666666,6,1
말이필요없음,0.6666666666666666,3,1
멋져요,0.5,2,1
명불허전,0.6666666666666666,3,1
밀라여보비치~~~~,0.5,2,drop
별로네...,0.5,2,0
보고싶다,0.5,4,1
볼만,0.2857142857142857,14,1
볼만해요,0.5,2,1
생각보다 별로,0.5,2,0
소름끼친다,0.5,2,0
수면제,0.25,4,0
숨겨진 걸작을 만났다,0.5,2,1
슬프다,0.25,4,1
썩 괜찮은 영화,0.5,2,1
아,0.3333333333333333,3,0
아...,0.4,5,0
아쉬움,0.5,2,0
어쩌라고,0.25,4,0
역시 서태지,0.5,2,1
와...,0.5,2,1
유구무언,0.3333333333333333,3,0
으리,0.5,2,1
음,0.4166666666666667,12,drop
의리,0.6666666666666666,3,1
의리!,0.75,4,1
잘봤어요,0.5,2,1
재미,0.5,2,1
재미따,0.5,2,1
재미있다,0.8947368421052632,19,1
재밋네요,0.5,6,1
재밋다,0.8571428571428571,14,1
재밌게 봤다,0.6666666666666666,3,1
재밌게 잘 보았습니다.,0.3333333333333333,6,1
재밌네,0.8333333333333334,6,1
재밌던데..,0.5,2,1
재밌습니다,0.8333333333333334,6,1
재밌어요 ㅎㅎ,0.8,5,1
재밌어요!!,0.75,4,1
잼,0.8,5,1
잼써,0.75,4,1
잼없음,0.25,4,0
잼있어요...,0.8125,16,1
정말 대단한 영화다.,0.5,2,drop
제 점수는요,0.5,2,drop
좋은 영화네요,0.5,2,1
쩔어,0.6666666666666666,3,1
찜,0.8,5,1
초딩영화,0.3333333333333333,3,0
최고.,0.8333333333333334,6,1
최고의영화,0.875,8,1
킬링타임,0.5,2,drop
평은 최대 한글 140자까지 가능합니다.,0.625,8,drop
평점 조절,0.2,5,drop
평점조절,0.5,4,drop
하하,0.7142857142857143,7,1
하하하...,0.5,2,0
할말을 잃었다,0.3333333333333333,3,0
할말이 없다,0.5,2,0
홍진호가 최고여야 하고 홍진호만 우승해야 한다고 주장하는 콩빠들 극혐;;,0.5,2,drop
화이팅,0.6666666666666666,3,1
휴,0.5,2,drop
흠,0.3333333333333333,3,drop
